Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Collection
vitamine-d-1000-ie,Vitamine D 1000 IE,"<p>Vitamine D ondersteunt de botten en het immuunsysteem. Geschikt voor dagelijks gebruik.</p>",MyFresh,Voedingssupplementen,gezondheid vitamine supplement,true,,,SKU-VD001,0,shopify,50,deny,manual,12.99,,true,true,,,Vitamine D,false,Gezondheid
multivitamine-dagelijks,Multivitamine Dagelijks,"<p>Complete multivitamine met alle essentiële vitaminen en mineralen voor dagelijkse ondersteuning.</p>",MyFresh,Voedingssupplementen,gezondheid multivitamine,true,,,SKU-MV001,0,shopify,100,deny,manual,18.99,,true,true,,,Multivitamine,false,Gezondheid
omega-3-visolie,Omega 3 Visolie,"<p>Hoogwaardige omega-3 vetzuren voor hart en hersenen. 1000mg per softgel.</p>",MyFresh,Voedingssupplementen,gezondheid omega-3,true,,,SKU-O3001,0,shopify,75,deny,manual,14.99,,true,true,,,Omega 3,false,Gezondheid
arnica-montana-30c,Arnica Montana 30C,"<p>Klassiek homeopathisch middel bij spierpijn en kneuzingen. Geschikt voor het hele gezin.</p>",MyFresh,Homeopathie,gezondheid arnica,true,,,SKU-AM001,0,shopify,50,deny,manual,8.99,,true,true,,,Arnica,false,Gezondheid
echinacea-druppels,Echinacea Druppels,"<p>Natuurlijke weerstandsondersteuning. Traditioneel kruidengeneesmiddel.</p>",MyFresh,Homeopathie,gezondheid echinacea,true,,,SKU-ED001,0,shopify,60,deny,manual,11.99,,true,true,,,Echinacea,false,Gezondheid
valeriaan-slaap,Valeriaan Slaap,"<p>Bevordert een natuurlijke nachtrust. Zonder chemische toevoegingen.</p>",MyFresh,Homeopathie,gezondheid valeriaan slaap,true,,,SKU-VS001,0,shopify,45,deny,manual,9.99,,true,true,,,Valeriaan,false,Gezondheid
probiotica-dagelijks,Probiotica Dagelijks,"<p>10 miljard CFU per capsule. Ondersteunt een gezonde darmflora.</p>",MyFresh,Voedingssupplementen,gezondheid probiotica,true,,,SKU-PB001,0,shopify,80,deny,manual,24.99,,true,true,,,Probiotica,false,Gezondheid
magnesium-citraat,Magnesium Citraat,"<p>Hoog opneembare vorm van magnesium. Voor spieren en energieniveau.</p>",MyFresh,Voedingssupplementen,gezondheid magnesium,true,,,SKU-MG001,0,shopify,90,deny,manual,15.99,,true,true,,,Magnesium,false,Gezondheid
vitamine-c-1000,Vitamine C 1000mg,"<p>Extra sterkte vitamine C met rozenbottel. Ondersteunt het immuunsysteem.</p>",MyFresh,Voedingssupplementen,gezondheid vitamine-c,true,,,SKU-VC001,0,shopify,70,deny,manual,10.99,,true,true,,,Vitamine C,false,Gezondheid
zink-tabletten,Zink 15mg Tabletten,"<p>Essentieel mineraal voor weerstand en huid. 90 tabletten per verpakking.</p>",MyFresh,Voedingssupplementen,gezondheid zink,true,,,SKU-ZN001,0,shopify,85,deny,manual,7.99,,true,true,,,Zink,false,Gezondheid
belladonna-30c,Belladonna 30C,"<p>Homeopathisch middel bij koorts en ontstekingen. Voor uitwendig en inwendig gebruik.</p>",MyFresh,Homeopathie,gezondheid belladonna,true,,,SKU-BD001,0,shopify,40,deny,manual,6.99,,true,true,,,Belladonna,false,Gezondheid
nux-vomica-30c,Nux Vomica 30C,"<p>Klassiek homeopathisch middel bij spijsverteringsklachten en vermoeidheid.</p>",MyFresh,Homeopathie,gezondheid nux-vomica,true,,,SKU-NV001,0,shopify,55,deny,manual,7.99,,true,true,,,Nux Vomica,false,Gezondheid
colloidaal-zilver,Colloidaal Zilver 50ppm,"<p>Traditioneel gebruikt voor huid en luchtwegen. 50ppm, 250ml.</p>",MyFresh,Natuurlijke Geneeskunde,gezondheid colloidaal,true,,,SKU-CZ001,0,shopify,30,deny,manual,19.99,,true,true,,,Colloidaal zilver,false,Gezondheid
teatree-olie,Tea Tree Olie 10ml,"<p>100% pure etherische olie. Antiseptisch en verzorgend voor de huid.</p>",MyFresh,Natuurlijke Geneeskunde,gezondheid etherische-olie,true,,,SKU-TT001,0,shopify,65,deny,manual,5.99,,true,true,,,Tea tree,false,Gezondheid
lavendel-olie,Lavendel Olie 10ml,"<p>Kalmerende etherische olie. Voor ontspanning en een betere nachtrust.</p>",MyFresh,Natuurlijke Geneeskunde,gezondheid etherische-olie,true,,,SKU-LV001,0,shopify,55,deny,manual,6.99,,true,true,,,Lavendel,false,Gezondheid
eucalyptus-olie,Eucalyptus Olie 10ml,"<p>Verfrissend en ondersteunend voor de luchtwegen. 100% puur.</p>",MyFresh,Natuurlijke Geneeskunde,gezondheid etherische-olie,true,,,SKU-EU001,0,shopify,50,deny,manual,5.49,,true,true,,,Eucalyptus,false,Gezondheid
